end_station_name,member_casual,end_lat,end_lng,total_trips
State St & 19th St,casual,41.856611170940191,-87.6275481087533,1131
McClurg Ct & Erie St,casual,41.894478365846382,-87.617929842617443,4470
California Ave & Fletcher St,casual,41.938416967961118,-87.697991399131851,1221
Sheridan Rd & Columbia Ave,member,42.004550827932491,-87.661416433502112,1975
Clark St & 9th St (AMLI),member,41.870822194179091,-87.631213828493188,2617
Desplaines St & Kinzie St,member,41.888695151289618,-87.644430785338059,13208
Broadway & Granville Ave,member,41.994714125182192,-87.660258592663808,4469
University Ave & 57th St,member,41.79152010909408,-87.59987849927272,5729
Sheridan Rd & Irving Park Rd,member,41.954222849925429,-87.654403593353848,7152
Wabash Ave & 9th St,casual,41.870773520821537,-87.625732897047712,7068
Shore Dr & 55th St,casual,41.795268043903135,-87.580762228860408,5850
Clark St & Berwyn Ave,member,41.97798132561875,-87.668020685679267,5292
Sheridan Rd & Buena Ave,casual,41.958499297816473,-87.6549618483969,2412
Paulina St & Howard St,member,42.019171218998871,-87.6735776052332,1172
Western Ave & Division St,casual,41.902892264458842,-87.68726674538037,1389
Fairbanks Ct & Grand Ave,casual,41.891862145547186,-87.620591993028313,9042
California Ave & Fletcher St,member,41.938398676284585,-87.697955256790209,1446
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),member,41.889927385877257,-87.680556609009869,140
Halsted St & Clybourn Ave,member,41.909663525997388,-87.648109336755851,9642
Wentworth Ave & Cermak Rd,casual,41.853091161130273,-87.631923272243867,2292
Desplaines St & Randolph St,member,41.884612053875145,-87.644557506683526,5040
Lincoln Ave & Belle Plaine Ave,member,41.956010429278216,-87.680192763248982,3376
Greenview Ave & Fullerton Ave,member,41.925339335622787,-87.66578579336057,5387
Broadway & Ridge Ave,casual,41.984007985259126,-87.660258797358964,2289
Oakley Ave & Touhy Ave,casual,42.012334831658286,-87.688231663735337,398
Budlong Woods Library,member,41.983679175049581,-87.696415651807186,380
Broadway & Thorndale Ave,casual,41.989704279762925,-87.660111634293571,2563
Paulina St & Howard St,casual,42.01916142040816,-87.673570961904758,490
Wolcott Ave & Fargo Ave,casual,42.016977739538234,-87.677728187590191,231
Clark St & Berwyn Ave,casual,41.977994391957722,-87.6680391518032,3059
Broadway & Granville Ave,casual,41.994719835987183,-87.660252704301115,3142
Valli Produce - Evanston Plaza,casual,42.039732833333332,-87.699414427304944,376
Western Ave & Lunt Ave,member,42.008527957044841,-87.690451427358767,1271
Glenwood Ave & Morse Ave,member,42.007915531417204,-87.6654865213871,2167
Clark St & Armitage Ave,member,41.918299758578939,-87.6362923724553,12657
Wacker Dr & Washington St,member,41.883163489351269,-87.637298748809016,4758
South Shore Dr & 67th St,casual,41.773704259389667,-87.567555733568085,1136
Drake Ave & Addison St,casual,41.947328342105266,-87.717590799122789,190
Logan Blvd & Elston Ave,member,41.929468935869686,-87.684166442468282,3233
Lakeview Ave & Fullerton Pkwy,member,41.925861053638549,-87.638981760915669,10375
Lake Shore Dr & Ohio St,casual,41.892577998968171,-87.614518360382263,6784
Clark St & Ida B Wells Dr,member,41.875947372083793,-87.630603589374843,3988
Desplaines St & Randolph St,casual,41.88460942922746,-87.644561533218535,2907
Field Museum,casual,41.865347304149452,-87.617891771866383,1936
Wells St & Concord Ln,casual,41.912116862711926,-87.634673164305127,9457
Franklin St & Lake St,member,41.885857011600038,-87.635513441169678,7227
Franklin St & Lake St,casual,41.885829518322439,-87.635460932315979,3211
Lincoln Ave & Roscoe St,member,41.943330842939154,-87.670955156978039,6038
Orleans St & Hubbard St,member,41.890010656108423,-87.636603221723078,4341
Dusable Harbor,member,41.886973928708137,-87.6128225786284,4180
Dusable Harbor,casual,41.886962337814147,-87.612808697056153,6658
Daley Center Plaza,member,41.884231029274559,-87.629647932636885,10003
Daley Center Plaza,casual,41.884206036683686,-87.629652800412089,3721
Ogden Ave & Congress Pkwy,casual,41.875002544183438,-87.6732470139821,298
State St & Pearson St,member,41.897442149351534,-87.628710587933725,4909
Clinton St & Madison St,casual,41.882233868675044,-87.641083924783089,3419
Wabash Ave & 16th St,casual,41.860398160299944,-87.625807880376328,2356
State St & 29th St,member,41.841706171806166,-87.6269212195301,227
Buckingham Fountain,member,41.876471906957981,-87.620508780903847,2164
Burnham Harbor,casual,41.856262431560076,-87.613337960749149,3346
Michigan Ave & 14th St,casual,41.864103910180859,-87.623726976266468,4073
Ogden Ave & Race Ave,casual,41.891785095844114,-87.658737046735666,2318
State St & Harrison St,casual,41.874060510372864,-87.627704538360888,3567
McClurg Ct & Erie St,member,41.894486469379807,-87.617935178382524,10271
Michigan Ave & Madison St,member,41.88212867010526,-87.625158183017547,4750
Michigan Ave & Madison St,casual,41.8821379645093,-87.625155601945465,3461
Clark St & Lincoln Ave,member,41.915696475938269,-87.634605323964891,11706
Bissell St & Armitage Ave,casual,41.91843704825498,-87.65221240334165,5616
Emerald Ave & 31st St,member,41.838198956935329,-87.645088408214434,2593
Peoria St & Jackson Blvd,casual,41.877649646099648,-87.649582845886,3088
Mies van der Rohe Way & Chestnut St,member,41.89857904370335,-87.621967056107223,8572
Michigan Ave & Lake St,member,41.886010396723712,-87.624164722951065,9757
Calumet Ave & 18th St,casual,41.857620981804395,-87.619415939348,2638
Green St & Madison St,casual,41.881902741858596,-87.64877059574664,5384
Adler Planetarium,member,41.866097562336073,-87.607279197878412,5719
Adler Planetarium,casual,41.866098987248023,-87.6072810064595,5986
LaSalle St & Adams St,member,41.879334528446279,-87.631950817029747,2790
Streeter Dr & Grand Ave,member,41.892291272816117,-87.612057564915034,8868
Dearborn St & Erie St,casual,41.893995382273012,-87.629329394852775,8095
Paulina Ave & North Ave,casual,41.910339814114678,-87.670083921613113,2645
Damen Ave & Division St,casual,41.903276594027261,-87.6784249420152,2104
Wabash Ave & Cermak Rd,member,41.852620261086749,-87.626487250121812,1368
Wabash Ave & Cermak Rd,casual,41.852621544811321,-87.626452136792437,1060
Carpenter St & Huron St,casual,41.894586815336844,-87.653432391383973,2093
Sangamon St & Washington Blvd,member,41.883186685071841,-87.651073529796818,3921
Sangamon St & Washington Blvd,casual,41.883158119477471,-87.651081666960252,2271
Wells St & Polk St,casual,41.872621792403905,-87.633516185529771,3278
Clark St & Lake St,member,41.8860076090648,-87.630896409280481,7352
Ogden Ave & Chicago Ave,casual,41.896362354551421,-87.65404590225593,2343
Franklin St & Monroe St,casual,41.880315443783068,-87.635200102813855,2772
Wabash Ave & 9th St,member,41.870775063931518,-87.625730356659972,7495
Michigan Ave & 8th St,casual,41.872762586832536,-87.623980900052544,8883
Wabash Ave & Grand Ave,member,41.891479956700842,-87.6267802757689,12583
St. Clair St & Erie St,member,41.894432059639875,-87.622729113676542,17411
St. Clair St & Erie St,casual,41.894422493625576,-87.622703223173431,6443
Rush St & Superior St,casual,41.895764708436367,-87.625962090380881,5312
Wells St & Huron St,casual,41.894735131149353,-87.634362874101029,7555
LaSalle St & Illinois St,member,41.890777488328659,-87.631699320159939,8211
McClurg Ct & Illinois St,member,41.890395314359338,-87.617543666463746,8213
Shore Dr & 55th St,member,41.795244636045481,-87.580756580961037,4953
Delano Ct & Roosevelt Rd,casual,41.86749526084683,-87.632177607510016,1913
May St & Taylor St,member,41.869481964345589,-87.655491566625116,4811
May St & Taylor St,casual,41.869481423309416,-87.6554839354679,1952
State St & 19th St,member,41.856623457308089,-87.627549403470042,1585
Michigan Ave & Jackson Blvd,member,41.877872493689225,-87.624087668115052,3222
Clinton St & Jackson Blvd,casual,41.878087113320461,-87.639846096915818,959
Millennium Park,casual,41.881040859704193,-87.624087119116041,19270
State St & Kinzie St,member,41.889192633996785,-87.627832914327783,8943
LaSalle Dr & Huron St,casual,41.8948793385765,-87.63230661018909,4037
Sedgwick St & Webster Ave,casual,41.922178594220476,-87.638912687380014,3299
Fort Dearborn Dr & 31st St,member,41.838552895844444,-87.608210863098421,3746
McCormick Place,member,41.851394925956782,-87.618824542235316,900
Wentworth Ave & 24th St (Temp),member,41.850091983927321,-87.632131059250042,864
Franklin St & Illinois St,casual,41.891032105573089,-87.635480627956056,3260
Sheffield Ave & Willow St,member,41.913694686354745,-87.652862306422065,7822
Michigan Ave & 18th St,casual,41.857820366850078,-87.624551433654275,3635
Honore St & Division St,member,41.903117914852579,-87.673913823200621,5099
Canal St & Taylor St,member,41.870250082100995,-87.639463297403879,3043
Michigan Ave & Washington St,casual,41.883988087101478,-87.624670160354611,10174
Wentworth Ave & Cermak Rd,member,41.853093109109885,-87.631920076026063,2320
LaSalle St & Jackson Blvd,casual,41.878217459493086,-87.631881618239447,1473
Green St & Randolph St,casual,41.883682014582476,-87.6486444109231,4846
