start_station_name,member_casual,start_lat,start_lng,total_trips
MLK Jr Dr & 47th St,member,41.809859585917316,-87.6162847273902,258
Kimbark Ave & 53rd St,member,41.799577733068134,-87.594730495172044,4902
Clinton St & Lake St,member,41.885604131336713,-87.641820940243576,9416
Burling St & Diversey Pkwy,casual,41.93312446483376,-87.647757150255742,782
Lincoln Ave & Waveland Ave,member,41.94879953621291,-87.675282913067178,3056
Morgan St & Lake St,member,41.88549288950307,-87.652309457378365,8063
Franklin St & Monroe St,casual,41.880266856456551,-87.635219107486009,3157
Broadway & Wilson Ave,member,41.965212474737868,-87.658152195834219,4737
Michigan Ave & Lake St,casual,41.886015416331986,-87.624140910034072,10956
Lincoln Ave & Waveland Ave,casual,41.948799291324192,-87.67527948401829,1460
Larrabee St & Kingsbury St,casual,41.897751734078128,-87.642947092871253,2193
Canal St & Adams St,member,41.879297531041082,-87.639909838422682,12215
Broadway & Cornelia Ave,member,41.945524008049375,-87.646433002239945,11533
Halsted St & Dickens Ave,member,41.919931601697016,-87.648826508298,8014
Ravenswood Ave & Berteau Ave,member,41.957914344426406,-87.673575649981942,1848
Museum of Science and Industry,member,41.79172911672967,-87.583938735521556,1438
Kimbark Ave & 53rd St,casual,41.799571788819861,-87.594740028352888,2898
Morgan St & Lake St,casual,41.885489977111661,-87.652312867000461,4324
Spaulding Ave & Armitage Ave,member,41.917106278391806,-87.7102164381314,1517
Damen Ave & Melrose Ave,member,41.940595743161396,-87.678511736908959,1706
Damen Ave & Charleston St,member,41.92008413720643,-87.6778777422744,2427
Michigan Ave & 14th St,casual,41.864089087030294,-87.6237212209697,4125
Michigan Ave & Oak St,casual,41.90096726512143,-87.623771185761512,13066
Broadway & Sheridan Rd,member,41.952820651866666,-87.649997000106666,6250
Burling St (Halsted) & Diversey Pkwy (Temp),casual,41.933132258084576,-87.6477659760572,2680
Clarendon Ave & Junior Ter,casual,41.961003958952887,-87.649591082184344,3699
Winthrop Ave & Lawrence Ave,member,41.968813793144207,-87.657664606383,2679
Clark St & Lake St,member,41.88600163928529,-87.63088741907832,7656
Wentworth Ave & 24th St (Temp),member,41.850086423652762,-87.6321314338417,741
Elizabeth (May) St & Fulton St,member,41.886605459871632,-87.658077527776854,2670
Leavitt St & Armitage Ave,member,41.917803751255377,-87.682432386537513,2788
Kingsbury St & Erie St,member,41.89381448855363,-87.641708552484744,12166
Indiana Ave & Roosevelt Rd,casual,41.867895090273969,-87.623035818851363,12763
Lincoln Ave & Addison St,casual,41.946180548498006,-87.673306889069849,921
Kedzie Ave & Palmer Ct,member,41.921516799798276,-87.707320102874448,2644
Michigan Ave & 14th St,member,41.864099625522684,-87.62371712781264,6696
Wallace St & 35th St,member,41.830620556051592,-87.6412923493717,1008
Ashland Ave & Grace St,casual,41.950688143453476,-87.668699326511913,1637
Greenview Ave & Diversey Pkwy,member,41.932595723906914,-87.665933649833917,2659
Clark St & Newport St,casual,41.944534629676156,-87.654692682788934,4776
Ashland Ave & Blackhawk St,casual,41.907067709262016,-87.6672557844849,2692
Ashland Ave & Blackhawk St,member,41.907072789071826,-87.66726135952041,5588
Ashland Ave & Division St,casual,41.9034465616,-87.667759353540717,5625
Manor Ave & Leland Ave,member,41.965879495699767,-87.70081967591868,1279
Ellis Ave & 53rd St,member,41.799330586190052,-87.600976128978132,2844
Rush St & Superior St,member,41.895767488676071,-87.625931881059955,8233
Clark St & Drummond Pl,casual,41.931242504317353,-87.644321630389925,6138
Oakley Ave & Irving Park Rd,member,41.954322190063827,-87.68608243122695,1183
May St & Cullerton St,member,41.855133729280105,-87.654125701300657,1102
Sheffield Ave & Fullerton Ave,member,41.92560051012525,-87.653705311574527,6648
Paulina St & Flournoy St,member,41.872963281614844,-87.66911786347238,5082
Southport Ave & Irving Park Rd,casual,41.954177632739125,-87.664353954763286,1739
Halsted St & Willow St,member,41.913870826035883,-87.6487696680272,5390
Broadway & Barry Ave,casual,41.937609522682308,-87.644096483366539,7795
Larrabee St & Kingsbury St,member,41.897767596670896,-87.642924406813037,9472
Clark St & Elm St,casual,41.902955067229904,-87.63133344168314,11126
Indiana Ave & 26th St,member,41.845690713154021,-87.622492970216157,2714
Clinton St & Washington Blvd,member,41.883388018685459,-87.64119575528035,11426
Cottage Grove Ave & 43rd St,member,41.816495942151349,-87.60658928267668,533
